,EmployeeNumber,Age,Gender,MaritalStatus,EducationField,Department,JobLevel,MonthlyIncome,NumCompaniesWorked,OverTime,PerformanceRating,PercentSalaryHike,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,Attrition
0,1,41,Female,Single,Life Sciences,Sales,2,5993,8,Yes,3,11,8,6,4,Yes
1,2,49,Male,Married,Life Sciences,Research & Development,2,5130,1,No,4,23,10,10,7,No
2,4,37,Male,Single,Other,Research & Development,1,2090,6,Yes,3,15,7,0,0,Yes
3,5,33,Female,Married,Life Sciences,Research & Development,1,2909,1,Yes,3,11,8,8,7,No
4,7,27,Male,Married,Medical,Research & Development,1,3468,9,No,3,12,6,2,2,No
5,8,32,Male,Single,Life Sciences,Research & Development,1,3068,0,No,3,13,8,7,7,No
6,10,59,Female,Married,Medical,Research & Development,1,2670,4,Yes,4,20,12,1,0,No
7,11,30,Male,Divorced,Life Sciences,Research & Development,1,2693,1,No,4,22,1,1,0,No
8,12,38,Male,Single,Life Sciences,Research & Development,3,9526,0,No,4,21,10,9,7,No
9,13,36,Male,Married,Medical,Research & Development,2,5237,6,No,3,13,17,7,7,No
10,14,35,Male,Married,Medical,Research & Development,1,2426,0,No,3,13,6,5,4,No
11,15,29,Female,Single,Life Sciences,Research & Development,2,4193,0,Yes,3,12,10,9,5,No
12,16,31,Male,Divorced,Life Sciences,Research & Development,1,2911,1,No,3,17,5,5,2,No
13,18,34,Male,Divorced,Medical,Research & Development,1,2661,0,No,3,11,3,2,2,No
14,19,28,Male,Single,Life Sciences,Research & Development,1,2028,5,Yes,3,14,6,4,2,Yes
15,20,29,Female,Divorced,Life Sciences,Research & Development,3,9980,1,No,3,11,10,10,9,No
16,21,32,Male,Divorced,Life Sciences,Research & Development,1,3298,0,Yes,3,12,7,6,2,No
17,22,22,Male,Divorced,Medical,Research & Development,1,2935,1,Yes,3,13,1,1,0,No
18,23,53,Female,Married,Life Sciences,Sales,4,15427,2,No,3,16,31,25,8,No
19,24,38,Male,Single,Life Sciences,Research & Development,1,3944,5,Yes,3,11,6,3,2,No
20,26,24,Female,Divorced,Other,Research & Development,2,4011,0,No,3,18,5,4,2,No
21,27,36,Male,Single,Life Sciences,Sales,1,3407,7,No,4,23,10,5,3,Yes
22,28,34,Female,Single,Life Sciences,Research & Development,3,11994,0,No,3,11,13,12,6,No
23,30,21,Male,Single,Life Sciences,Research & Development,1,1232,1,No,3,14,0,0,0,No
24,31,34,Male,Single,Medical,Research & Development,1,2960,2,No,3,11,8,4,2,Yes
25,32,53,Female,Divorced,Other,Research & Development,5,19094,4,No,3,11,26,14,13,No
26,33,32,Female,Single,Life Sciences,Research & Development,1,3919,1,Yes,4,22,10,10,2,Yes
27,35,42,Male,Married,Marketing,Sales,2,6825,0,No,3,11,10,9,7,No
28,36,44,Female,Married,Medical,Research & Development,3,10248,3,No,3,14,24,22,6,No
29,38,46,Female,Single,Marketing,Sales,5,18947,3,No,3,12,22,2,2,No
30,39,33,Male,Single,Medical,Research & Development,1,2496,4,No,3,11,7,1,1,No
31,40,44,Male,Married,Other,Research & Development,2,6465,2,Yes,3,13,9,4,2,No
32,41,30,Male,Single,Medical,Research & Development,1,2206,1,No,3,13,10,10,0,No
33,42,39,Male,Married,Technical Degree,Sales,2,2086,3,No,3,14,19,1,0,Yes
34,45,24,Male,Married,Medical,Research & Development,1,2293,2,Yes,3,16,6,2,0,Yes
35,46,43,Female,Divorced,Medical,Research & Development,1,2645,1,No,3,12,6,5,3,No
36,47,50,Male,Married,Marketing,Sales,1,2683,1,Yes,3,14,3,3,2,Yes
37,49,35,Female,Married,Marketing,Sales,1,2014,1,No,3,13,2,2,2,No
38,51,36,Female,Married,Life Sciences,Research & Development,1,3419,9,Yes,3,14,6,1,1,No
39,52,33,Female,Married,Life Sciences,Sales,2,5376,2,No,3,19,10,5,3,No
40,53,35,Male,Divorced,Other,Research & Development,1,1951,1,No,3,12,1,1,0,No
41,54,27,Female,Divorced,Life Sciences,Research & Development,1,2341,1,No,3,13,1,1,0,No
42,55,26,Male,Single,Life Sciences,Research & Development,1,2293,1,No,3,12,1,1,0,Yes
43,56,27,Male,Single,Life Sciences,Sales,3,8726,1,No,3,15,9,9,8,No
